contactDate,beat,encounterType,reasonForEncounter,resultOfEncounter,search,typeOfSearch,resultOfSearch,race,sex
3/20/15,12Y,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
3/20/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,30X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
3/20/15,32X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,35X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/20/15,34X,Vehicle,Traffic Violation,Citation,Yes,P/C,None,Afr American,Male
3/20/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/20/15,32Y,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
3/20/15,34X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Female
3/20/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,White,Male
3/20/15,29X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Female
3/20/15,27Y,Vehicle,Traffic Violation,Warning,Yes,P/C,Yes,Hispanic,Male
3/20/15,28X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Male
3/20/15,27Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,Yes,Afr American,Male
3/20/15,02Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/20/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/20/15,28X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
3/20/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/20/15,10Y,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/20/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/20/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
3/20/15,24Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/20/15,33X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,29X,Vehicle,Traffic Violation,Felony Arrest,Yes,Consent,None,Afr American,Male
3/20/15,29X,Vehicle,Traffic Violation,Felony Arrest,Yes,P/C,None,Afr American,Male
3/20/15,12X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/20/15,02Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/20/15,07X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
3/20/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,04X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,White,Male
3/20/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/20/15,03Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,28X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,21Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,04X,Pedestrian,Probable Cause,FI Report,Yes,Weapons,None,White,Male
3/20/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,14X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,08X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/20/15,02X,Pedestrian,Consensual Encounter,FI Report,Yes,Prob./Parole,None,Hispanic,Female
3/20/15,02X,Pedestrian,Probation/Parole,FI Report,Yes,Prob./Parole,None,Hispanic,Male
3/20/15,07X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Afr American,Male
3/20/15,12X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
3/20/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/20/15,34X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/20/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/20/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/20/15,31Z,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Hispanic,Male
3/20/15,02X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Hispanic,Male
3/20/15,05X,Vehicle,Probable Cause,FI Report,Yes,Weapons,Yes,Afr American,Female
3/20/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
3/20/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/20/15,01X,Pedestrian,Probable Cause,Felony Arrest,Yes,Prob./Parole,None,White,Female
3/20/15,09X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,13Z,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/20/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
3/20/15,34X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Female
3/20/15,27Y,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Female
3/20/15,23X,Pedestrian,Traffic Violation,Citation,Yes,Weapons,Yes,Hispanic,Male
3/20/15,23X,Vehicle,Traffic Violation,Citation,Yes,Weapons,Yes,Hispanic,Male
3/20/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,10Y,Vehicle,Probable Cause,Warning,No,No,No,Afr American,Female
3/20/15,10Y,Vehicle,Probable Cause,Citation,No,No,No,Afr American,Female
3/20/15,33X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,27Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/20/15,24X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/20/15,27Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/20/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/20/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/20/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/20/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/20/15,23X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
3/20/15,04X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/20/15,30Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/20/15,29X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/20/15,31X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
3/20/15,30Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/20/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
3/21/15,16X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/21/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
3/21/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/21/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/21/15,22Y,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
3/21/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
3/21/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,11X,Vehicle,Traffic Violation,Warning,No,No,No,Other,Male
3/21/15,16X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/21/15,16X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
3/21/15,16X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
3/21/15,16X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
3/21/15,19X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
3/21/15,30X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
3/21/15,32X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
3/21/15,32X,Bicycle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,31Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/21/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,34X,Pedestrian,Reasonable Suspicion,Warning,Yes,Prob./Parole,None,Afr American,Male
3/21/15,21X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
3/21/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,15X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,18Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,19X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Female
3/21/15,17X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Other,Male
3/21/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Female
3/21/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/21/15,24Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,30X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,26X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/21/15,26X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/21/15,30X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/21/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,10X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
3/21/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Other,Female
3/21/15,19X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,07X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/21/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
3/21/15,26X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,03X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,19X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Hispanic,Male
3/21/15,21X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/21/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/21/15,26Y,Pedestrian,Probable Cause,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
3/21/15,30X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/21/15,19X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
3/21/15,33X,Vehicle,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Hispanic,Male
3/21/15,34X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
3/21/15,23X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/21/15,23X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/21/15,23X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/21/15,23X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,Yes,Afr American,Male
3/21/15,23X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Hispanic,Male
3/21/15,07X,Vehicle,Traffic Violation,Warning,No,No,No,White,Male
3/21/15,19X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,Afr American,Male
3/21/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,34X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,33X,Bicycle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,34X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/21/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/21/15,34X,Vehicle,Traffic Violation,Citation,Yes,Weapons,None,Afr American,Male
3/21/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,06X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/21/15,15X,Vehicle,Traffic Violation,FI Report,No,No,No,White,Male
3/21/15,14X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Female
3/21/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,27Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/21/15,29X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,31X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,26X,Bicycle,Traffic Violation,Warning,Yes,Prob./Parole,None,Hispanic,Male
3/21/15,26X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,04X,Pedestrian,Probable Cause,FI Report,No,No,No,Afr American,Male
3/21/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,06X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,Yes,White,Male
3/21/15,07X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/21/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,02Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/21/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,07X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Afr American,Male
3/21/15,06X,Pedestrian,Probable Cause,Felony Arrest,Yes,P/C,Yes,Afr American,Male
3/21/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/21/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,05X,Vehicle,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/21/15,03Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,10X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,10Y,Vehicle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
3/21/15,10Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Unknown
3/21/15,06X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,14Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
3/21/15,19X,Pedestrian,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
3/21/15,19X,Pedestrian,Reasonable Suspicion,Warning,No,No,No,Afr American,Female
3/21/15,06X,Pedestrian,Reasonable Suspicion,FI Report,No,No,No,Afr American,Female
3/21/15,10Y,Vehicle,Consensual Encounter,Citation,No,No,No,Afr American,Male
3/21/15,35X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,32Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,35X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,34X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/21/15,35X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,None,Afr American,Male
3/21/15,03X,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
3/21/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/21/15,33X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/21/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/21/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/21/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,04X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/22/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
3/22/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
3/22/15,16Y,Vehicle,Traffic Violation,Citation,No,No,No,White,Female
3/22/15,18Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,32Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,35X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,15X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Incident to Arrest,None,White,Female
3/22/15,18X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/22/15,16Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/22/15,23X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/22/15,21Y,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/22/15,05X,Pedestrian,Probable Cause,FI Report,Yes,P/C,None,Afr American,Male
3/22/15,05X,Pedestrian,Probable Cause,FI Report,Yes,Weapons,None,Afr American,Female
3/22/15,05X,Pedestrian,Probable Cause,Felony Arrest,Yes,P/C,None,Afr American,Male
3/22/15,33X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/22/15,32Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,20X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,12Y,Bicycle,Traffic Violation,FI Report,No,No,No,White,Female
3/22/15,34X,Pedestrian,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,34X,Pedestrian,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,33X,Vehicle,Traffic Violation,Warning,Yes,Weapons,None,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,32X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,06X,Vehicle,Traffic Violation,Warning,No,No,No,Asian,Male
3/22/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/22/15,20X,Vehicle,Traffic Violation,Citation,No,No,No,Asian,Male
3/22/15,32Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,10X,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,None,Afr American,Male
3/22/15,01X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
3/22/15,27X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,27Y,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Hispanic,Male
3/22/15,09X,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/22/15,09X,Vehicle,Traffic Violation,Citation,No,No,No,White,Male
3/22/15,03Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,10Y,Bicycle,Traffic Violation,Warning,Yes,Prob./Parole,None,Afr American,Male
3/22/15,10Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,18X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,22X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,None,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,30X,Pedestrian,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,Hispanic,Male
3/22/15,30X,Pedestrian,Reasonable Suspicion,FI Report,Yes,Weapons,None,Hispanic,Male
3/22/15,05X,Other,Probable Cause,FI Report,Yes,Weapons,None,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Hispanic,Male
3/22/15,34X,Vehicle,Traffic Violation,FI Report,Yes,P/C,Yes,Hispanic,Male
3/22/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,35X,Vehicle,Traffic Violation,Warning,Yes,Consent,None,Hispanic,Male
3/22/15,32X,Vehicle,Reasonable Suspicion,FI Report,No,No,No,Hispanic,Male
3/22/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,30X,Vehicle,Probable Cause,FI Report,No,No,No,Afr American,Female
3/22/15,23X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,33X,Vehicle,Traffic Violation,Warning,No,No,No,Hispanic,Male
3/22/15,32X,Vehicle,Reasonable Suspicion,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/22/15,32X,Vehicle,Reasonable Suspicion,Misdemeanor Arrest,Yes,P/C,Yes,Afr American,Male
3/22/15,04X,Vehicle,Probable Cause,FI Report,Yes,Weapons,None,White,Male
3/22/15,31X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Hispanic,Male
3/22/15,34X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
3/22/15,33X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,Yes,Hispanic,Male
3/22/15,33X,Vehicle,Traffic Violation,Citation,Yes,Prob./Parole,Yes,Afr American,Male
3/22/15,32Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,30X,Vehicle,Probable Cause,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/22/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,08X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,02X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,06X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/22/15,06X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/22/15,30X,Vehicle,Traffic Violation,Felony Arrest,Yes,Incident to Arrest,Yes,Afr American,Male
3/22/15,30X,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,Yes,Afr American,Male
3/22/15,23X,Vehicle,Traffic Violation,FI Report,Yes,Weapons,Yes,Afr American,Male
3/22/15,08X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,34X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,34X,Vehicle,Traffic Violation,Misdemeanor Arrest,Yes,Prob./Parole,Yes,Hispanic,Male
3/22/15,34X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,35X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Male
3/22/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,27Y,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,26X,Vehicle,Traffic Violation,Warning,Yes,Weapons,None,Afr American,Male
3/22/15,27X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,03X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,03X,Vehicle,Traffic Violation,Citation,Yes,Inventory,None,Afr American,Male
3/22/15,07X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,35X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/22/15,29X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,30X,Vehicle,Traffic Violation,Warning,No,No,No,Afr American,Female
3/22/15,32X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,27Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,27X,Vehicle,Probation/Parole,FI Report,Yes,Prob./Parole,None,Hispanic,Male
3/22/15,26Y,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Male
3/22/15,21Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,33X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,32X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,27Y,Vehicle,Traffic Violation,FI Report,No,No,No,Asian,Male
3/22/15,31Z,Vehicle,Traffic Violation,FI Report,Yes,Prob./Parole,None,Afr American,Male
3/22/15,32Y,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Male
3/22/15,27Y,Vehicle,Traffic Violation,FI Report,No,No,No,Hispanic,Male
3/22/15,30Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,02Y,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Male
3/22/15,02X,Vehicle,Traffic Violation,Citation,No,No,No,Afr American,Female
3/22/15,05X,Vehicle,Traffic Violation,FI Report,No,No,No,Afr American,Female
3/22/15,23X,Vehicle,Traffic Violation,Citation,No,No,No,Hispanic,Female
3/22/15,22X,Vehicle,Traffic Violation,Warning,No,No,No,White,Female
